Ticker,Name,Sector,Asset Class,Market Value
AAPL,APPLE INC,Information Technology,Equity,"$7,493,353,805.46 "
MSFT,MICROSOFT CORP,Information Technology,Equity,"$5,828,397,105.30 "
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"$4,832,606,678.56 "
FB,FACEBOOK CLASS A INC,Communication,Equity,"$2,295,423,302.04 "
TSLA,TESLA INC,Consumer Discretionary,Equity,"$1,867,366,535.44 "
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"$1,428,801,201.92 "
GOOG,ALPHABET INC CLASS C,Communication,Equity,"$1,383,403,575.84 "
V,VISA INC CLASS A,Information Technology,Equity,"$1,292,495,474.43 "
MA,MASTERCARD INC CLASS A,Information Technology,Equity,"$1,102,093,655.04 "
NVDA,NVIDIA CORP,Information Technology,Equity,"$1,078,892,876.60 "
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"$964,000,383.28 "
PYPL,PAYPAL HOLDINGS INC,Information Technology,Equity,"$962,621,955.20 "
ADBE,ADOBE INC,Information Technology,Equity,"$842,048,543.16 "
NFLX,NETFLIX INC,Communication,Equity,"$804,855,516.53 "
CRM,SALESFORCE.COM INC,Information Technology,Equity,"$633,072,036.52 "
MRK,MERCK & CO INC,Health Care,Equity,"$632,206,024.00 "
ABBV,ABBVIE INC,Health Care,Equity,"$621,089,296.05 "
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"$606,970,102.97 "
QCOM,QUALCOMM INC,Information Technology,Equity,"$600,136,422.36 "
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"$582,800,519.97 "
AVGO,BROADCOM INC,Information Technology,Equity,"$573,842,707.20 "
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"$530,571,291.66 "
PEP,PEPSICO INC,Consumer Staples,Equity,"$528,883,179.80 "
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"$513,919,630.84 "
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"$499,421,911.44 "
LLY,ELI LILLY,Health Care,Equity,"$497,839,935.60 "
AMGN,AMGEN INC,Health Care,Equity,"$468,880,224.48 "
KO,COCA-COLA,Consumer Staples,Equity,"$435,169,603.56 "
