Ticker,Name,Sector,Asset Class,Market Value,Weight,Notional Value,Shares
PENN,PENN NATIONAL GAMING INC,Consumer Discretionary,Equity,322834196.2,0.56,322834196.2,3657349
CZR,CAESARS ENTERTAINMENT INC,Consumer Discretionary,Equity,309748770.3,0.54,309748770.3,4221736
PLUG,PLUG POWER INC,Industrials,Equity,285715094.8,0.49,285715094.8,8802067
RUN,SUNRUN INC,Industrials,Equity,225120216.3,0.39,225120216.3,3530190
MRTX,MIRATI THERAPEUTICS INC,Health Care,Equity,221898658.7,0.38,221898658.7,1004339
RARE,ULTRAGENYX PHARMACEUTICAL INC,Health Care,Equity,216638015.2,0.37,216638015.2,1469330
DAR,DARLING INGREDIENTS INC,Consumer Staples,Equity,212901884.3,0.37,212901884.3,3781561
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,Equity,188854075.1,0.33,188854075.1,656998
ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,Equity,184017149.4,0.32,184017149.4,2357985
IIVI,II VI INC,Information Technology,Equity,179302093.3,0.31,179302093.3,2409003
NTRA,NATERA INC,Health Care,Equity,176272339.4,0.3,176272339.4,1773542
CHDN,CHURCHILL DOWNS INC,Consumer Discretionary,Equity,174928522.6,0.3,174928522.6,892538
NVAX,NOVAVAX INC,Health Care,Equity,174164069.4,0.3,174164069.4,1448109
LAD,LITHIA MOTORS INC CLASS A,Consumer Discretionary,Equity,173357820,0.3,173357820,610200
RDFN,REDFIN CORP,Real Estate,Equity,169326310.3,0.29,169326310.3,2340701
RH,RH,Consumer Discretionary,Equity,166280174.2,0.29,166280174.2,369085
IRTC,IRHYTHM TECHNOLOGIES INC,Health Care,Equity,164131924.9,0.28,164131924.9,677727
SITE,SITEONE LANDSCAPE SUPPLY INC,Industrials,Equity,162145874.1,0.28,162145874.1,1032316
BL,BLACKLINE INC,Information Technology,Equity,157600359.1,0.27,157600359.1,1196889
FATE,FATE THERAPEUTICS INC,Health Care,Equity,155829433,0.27,155829433,1683005
BPMC,BLUEPRINT MEDICINES CORP,Health Care,Equity,151664349.8,0.26,151664349.8,1299943
LHCG,LHC GROUP INC,Health Care,Equity,150865535.7,0.26,150865535.7,712672
