Ticker,Name,Sector,AssetClass,Market Value,Weight,Notional Value,Shares
AAPL,APPLE INC,Information Technology,Equity,"$1,556,006,269.32 ",6.01,"1,556,006,269.32","11,726,628.00"
MSFT,MICROSOFT CORP,Information Technology,Equity,"$1,210,266,623.94 ",4.68,"1,210,266,623.94","5,441,357.00"
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"$1,003,499,216.16 ",3.88,"1,003,499,216.16","308,112.00"
FB,FACEBOOK CLASS A INC,Communication,Equity,"$476,702,715.56 ",1.84,"476,702,715.56","1,745,141.00"
TSLA,TESLA INC,Consumer Discretionary,Equity,"$387,829,880.97 ",1.5,"387,829,880.97","549,591.00"
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"$382,301,610.56 ",1.48,"382,301,610.56","218,129.00"
GOOG,ALPHABET INC CLASS C,Communication,Equity,"$370,209,033.48 ",1.43,"370,209,033.48","211,321.00"
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"$316,946,812.92 ",1.23,"316,946,812.92","1,366,916.00"
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"$301,504,826.88 ",1.17,"301,504,826.88","1,915,776.00"
JPM,JPMORGAN CHASE & CO,Financials,Equity,"$279,611,308.57 ",1.08,"279,611,308.57","2,200,451.00"
V,VISA INC CLASS A,Information Technology,Equity,"$268,281,312.93 ",1.04,"268,281,312.93","1,226,541.00"
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"$246,305,628.00 ",0.95,"246,305,628.00","1,770,200.00"
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"$240,459,873.28 ",0.93,"240,459,873.28","685,696.00"
DIS,WALT DISNEY,Communication,Equity,"$237,837,703.70 ",0.92,"237,837,703.70","1,312,715.00"
MA,MASTERCARD INC CLASS A,Information Technology,Equity,"$228,708,591.12 ",0.88,"228,708,591.12","640,748.00"
NVDA,NVIDIA CORP,Information Technology,Equity,"$223,909,960.40 ",0.87,"223,909,960.40","428,782.00"
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"$207,230,880.36 ",0.8,"207,230,880.36","780,178.00"
PYPL,PAYPAL HOLDINGS INC,Information Technology,Equity,"$199,739,812.00 ",0.77,"199,739,812.00","852,860.00"
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"$176,765,061.25 ",0.68,"176,765,061.25","3,008,767.00"
ADBE,ADOBE INC,Information Technology,Equity,"$174,679,413.00 ",0.68,"174,679,413.00","349,275.00"
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"$172,401,868.80 ",0.67,"172,401,868.80","3,290,112.00"
BAC,BANK OF AMERICA CORP,Financials,Equity,"$170,208,381.35 ",0.66,"170,208,381.35","5,615,585.00"
NFLX,NETFLIX INC,Communication,Equity,"$166,955,254.07 ",0.65,"166,955,254.07","308,759.00"
KO,COCA-COLA,Consumer Staples,Equity,"$153,893,214.48 ",0.59,"153,893,214.48","2,806,222.00"
MRK,MERCK & CO INC,Health Care,Equity,"$150,007,621.20 ",0.58,"150,007,621.20","1,833,834.00"
