"","Tickers","name","watchlist","Sector","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","SMA20","SMA60","SMA120","EMA20","EMA60","EMA120","AboveSMA20","AboveSMA60","AboveSMA120","AboveEMA20","AboveEMA60","AboveEMA120","DMinus1","Dminus5","Dminus20","Dminus60","Dminus120","Rel1D","Rel5D","Rel20D","C_Rel_EMA20","EMA20_Rel_EMA60","EMA60_Rel_EMA120","Percent"
"1","VTI","Total Market","Broad Market",NA,160.119995,160.119995,155.910004,158.610001,4581200,156.610077,2020-06-16,155.18850015,143.3975006,151.105750133333,154.813550156305,149.400223593212,149.104173137059,1,1,1,1,1,1,155.619995,162.600006,148.600006,115.190002,164.289993,1.92,-2.45,6.74,2.45,3.62,0.2,NA
"2","VTI","Total Market","Broad Market",NA,159.139999,159.210007,157.410004,157.839996,3700700,155.849777,2020-06-17,155.72949975,144.163000466667,151.059083416667,155.1017830938,149.676937442614,149.248566903389,1,1,1,1,1,1,158.610001,161.389999,147.020004,111.910004,163.440002,-0.49,-2.2,7.36,1.77,3.62,0.29,NA
"3","VTI","Total Market","Broad Market",NA,156.940002,158.300003,156.429993,157.970001,2797800,155.978134,2020-06-18,156.14099955,144.753667166667,151.006916791667,155.374946703914,149.948841165807,149.39272283887,1,1,1,1,1,1,157.839996,151.869995,149.740005,122.529999,164.229996,0.08,4.02,5.5,1.67,3.62,0.37,NA
"4","VTI","Total Market","Broad Market",NA,159.860001,159.880005,156.289993,157.080002,3824900,155.09935,2020-06-19,156.55299985,145.30133385,150.948583458333,155.537332922589,150.182649717748,149.519785304343,1,1,1,1,1,1,157.970001,153.970001,148.839996,124.220001,164.080002,-0.56,2.02,5.54,0.99,3.57,0.44,NA
"5","VTI","Total Market","Broad Market",NA,156.949997,158.300003,156.050003,158.169998,2561300,156.175613,2020-06-22,156.9985,145.7523338,150.906750091667,155.788062929961,150.444529989297,149.662764026586,1,1,1,1,1,1,157.080002,155.619995,149.259995,131.110001,163.190002,0.69,1.64,5.97,1.53,3.55,0.52,NA
"6","VTI","Total Market","Broad Market",NA,159.630005,159.979996,158.550003,158.789993,2555100,156.787796,2020-06-23,157.37099985,146.283333683334,150.866500075,156.07396103187,150.718151727353,149.813627315403,1,1,1,1,1,1,158.169998,158.610001,151.339996,126.93,163.619995,0.39,0.11,4.92,1.74,3.55,0.6,NA
"7","VTI","Total Market","Broad Market",NA,157.630005,157.910004,153.410004,154.479996,3729100,152.532135,2020-06-24,157.40849985,146.678333633334,150.779000075,155.922154838358,150.841490883833,149.890757376305,0,1,1,0,1,1,158.789993,157.839996,153.729996,130.779999,164.979996,-2.71,-2.13,0.49,-0.92,3.37,0.63,NA
"8","VTI","Total Market","Broad Market",NA,153.429993,155.770004,152.410004,155.639999,4029200,154.377045,2020-06-25,157.53049995,147.12383355,150.709916791667,155.895282853753,150.99881901879,149.985786163474,0,1,1,0,1,1,154.479996,157.970001,153.199997,128.910004,163.929993,0.75,-1.47,1.59,-0.16,3.24,0.68,NA
"9","VTI","Total Market","Broad Market",NA,154.979996,155.169998,151.729996,152.020004,3508500,150.786423,2020-06-26,157.4459998,147.608166966667,150.606000116667,155.526208677205,151.032300493583,150.019409598788,0,1,1,0,1,1,155.639999,157.080002,153.710007,122.959999,164.490005,-2.33,-3.22,-1.1,-2.25,2.98,0.68,NA
"10","VTI","Total Market","Broad Market",NA,152.699997,154.279999,151.350006,154.25,3161600,152.998337,2020-06-29,157.4209998,148.08700035,150.523916733333,155.404664993662,151.137798838056,150.089336712858,0,1,1,0,1,1,152.020004,158.169998,154.75,125.519997,164.100006,1.47,-2.48,-0.32,-0.74,2.82,0.7,NA
"11","VTI","Total Market","Broad Market",NA,154.479996,157.220001,154.070007,156.529999,4317400,155.259827,2020-06-30,157.45149985,148.639500383334,150.454083358333,155.511839660932,151.314592285989,150.195793940744,0,1,1,1,1,1,154.25,158.789993,155.919998,123.379997,164.910004,1.48,-1.42,0.39,0.65,2.77,0.74,NA
"12","VTI","Total Market","Broad Market",NA,156.899994,158.039993,156.610001,157.440002,3639500,156.162445,2020-07-01,157.40599965,149.063333833334,150.383250025,155.695474169415,151.515425391366,150.31553291693,1,1,1,1,1,1,156.529999,154.479996,158.350006,132.009995,165.940002,0.58,1.92,-0.57,1.12,2.76,0.8,NA
"13","VTI","Total Market","Broad Market",NA,159.300003,160.070007,157.860001,158.070007,3181600,156.787338,2020-07-02,157.4169997,149.495167216667,150.321666691667,155.92162015328,151.730329706403,150.44370604227,1,1,1,1,1,1,157.440002,155.639999,157.850006,132.160004,165.460007,0.4,1.56,0.14,1.38,2.76,0.86,NA
"14","VTI","Total Market","Broad Market",NA,160.5,161.029999,159.860001,160.559998,3307600,159.257126,2020-07-06,157.3499999,149.891167133334,150.271416708333,156.363370424396,152.019827027505,150.610917479588,1,1,1,1,1,1,158.070007,152.020004,161.899994,136.800003,166.589996,1.58,5.62,-0.83,2.68,2.86,0.94,NA
"15","VTI","Total Market","Broad Market",NA,159.789993,160.880005,158.729996,158.929993,2357400,157.64035,2020-07-07,157.09149925,150.217333666667,150.208333316667,156.607810669692,152.246389846275,150.748422860091,1,1,1,1,1,1,160.559998,154.25,164.100006,139.360001,166.5,-1.02,3.03,-3.15,1.48,2.86,0.99,NA
"16","VTI","Total Market","Broad Market",NA,159.309998,160.279999,158.369995,160.229996,2434900,158.929794,2020-07-08,156.97299875,150.59283365,150.152666583333,156.95278070115,152.508147425086,150.905143077279,1,1,1,1,1,1,158.929993,156.529999,162.600006,137.699997,166.910004,0.82,2.36,-1.46,2.09,2.91,1.06,NA
"17","VTI","Total Market","Broad Market",NA,160.559998,160.699997,157.279999,159.240005,2465200,157.947845,2020-07-09,156.86549905,150.882166983334,150.076833325,157.170611586754,152.728864066886,151.042909390052,1,1,1,1,1,1,160.229996,157.440002,161.389999,141.880005,168.339996,-0.62,1.14,-1.33,1.32,2.91,1.12,NA
"18","VTI","Total Market","Broad Market",NA,159.169998,161.009995,158.429993,160.949997,2391800,159.643951,2020-07-10,157.31949915,151.255500216667,150.011750008333,157.530553054683,152.998409408956,151.206662904266,1,1,1,1,1,1,159.240005,158.070007,151.869995,138.550003,168.759995,1.07,1.82,5.98,2.17,2.96,1.18,NA
"19","VTI","Total Market","Broad Market",NA,162.080002,163.550003,158.880005,159.210007,4694700,157.918076,2020-07-13,157.58149945,151.589000383334,149.935166783333,157.690501049475,153.202068346367,151.338949583534,1,1,1,1,1,1,160.949997,160.559998,153.970001,139.199997,168.399994,-1.08,-0.84,3.4,0.96,2.93,1.23,NA
"20","VTI","Total Market","Broad Market",NA,158.5,161.419998,157.740005,161.300003,3221300,159.991119,2020-07-14,157.86549985,151.891667116667,149.875166808333,158.034263140001,153.467574400584,151.50359509455,1,1,1,1,1,1,159.210007,158.929993,155.619995,143.139999,168.5,1.31,1.49,3.65,2.07,2.98,1.3,NA
"21","VTI","Total Market","Broad Market",NA,163.330002,163.639999,161.669998,163.300003,3747800,161.974899,2020-07-15,158.09999995,152.266333716667,149.83025015,158.535762174287,153.789949108762,151.698577043401,1,1,1,1,1,1,161.300003,160.229996,158.610001,140.820007,168.690002,1.24,1.92,2.96,3.01,3.09,1.38,NA
