"","Tickers","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","SMA20","SMA60","SMA120","EMA20","EMA60","EMA120","AboveSMA20","AboveSMA60","AboveSMA120","AboveEMA20","AboveEMA60","AboveEMA120","DMinus1","Dminus5","Dminus20","Dminus60","Dminus120","Rel1D","Rel5D","Rel20D","C_Rel_EMA20","EMA20_Rel_EMA60","EMA60_Rel_EMA120"
"1","GE",7.73,7.74,7.29,7.47,98161400,7.439664,2020-06-16,7.13750000000001,6.82400000000001,8.969,7.18015719268119,7.35507860898198,8.08093254705418,1,1,0,1,1,0,7.24,8.02,6.27,6.52,11.16,3.18,-6.86,19.14,4.04,-2.38,-8.98
"2","GE",7.5,7.53,7.2,7.24,75071400,7.210598,2020-06-17,7.18900000000001,6.84283333333334,8.93608333333333,7.18585650766394,7.35130553983503,8.06703283553262,1,1,0,1,0,0,7.47,7.61,6.21,6.11,11.19,-3.08,-4.86,16.59,0.75,-2.25,-8.87
"3","GE",7.13,7.32,7.02,7.28,78398200,7.250437,2020-06-18,7.23200000000001,6.84733333333334,8.90316666666667,7.19482255455309,7.34896765328306,8.05402402833373,1,1,0,1,0,0,7.24,6.95,6.42,7.01,11.23,0.55,4.75,13.4,1.18,-2.1,-8.75
"4","GE",7.42,7.45,7.09,7.15,88679500,7.120965,2020-06-19,7.26550000000001,6.84050000000001,8.86958333333333,7.19055373983374,7.34244412366722,8.03908148241086,0,1,0,0,0,0,7.28,7.25,6.48,7.56,11.18,-1.79,-1.38,10.34,-0.56,-2.07,-8.67
"5","GE",7.17,7.18,6.96,7.04,78289600,7.011411,2020-06-22,7.29700000000001,6.82250000000001,8.83591666666667,7.17621528842101,7.33252792289124,8.02256773889994,0,1,0,0,0,0,7.15,7.24,6.41,8.12,11.08,-1.54,-2.76,9.83,-1.9,-2.13,-8.6
"6","GE",7.09,7.13,6.97,7,80583900,6.971574,2020-06-23,7.30700000000001,6.81216666666667,8.80125,7.15943287999996,7.32162536804235,8.00566579280242,0,1,0,0,0,0,7.04,7.47,6.8,7.62,11.16,-0.57,-6.29,2.94,-2.23,-2.22,-8.54
"7","GE",6.9,6.9,6.52,6.53,144666000,6.503482,2020-06-24,7.26900000000001,6.78950000000001,8.75625,7.09948689142853,7.2956704379426,7.98127462267345,0,0,0,0,0,0,7,7.24,7.29,7.89,11.93,-6.71,-9.81,-10.43,-8.02,-2.69,-8.59
"8","GE",6.5,6.7,6.42,6.68,73946600,6.652873,2020-06-25,7.26400000000001,6.76850000000001,8.71216666666666,7.05953575891153,7.27548452194448,7.95976595122431,0,0,0,0,0,0,6.53,7.28,6.78,7.94,11.97,2.3,-8.24,-1.47,-5.38,-2.97,-8.6
"9","GE",6.62,6.65,6.45,6.48,89409600,6.463361,2020-06-26,7.25950000000001,6.75916666666667,8.665,7.00434187711043,7.2494030622086,7.93530700988176,0,0,0,0,0,0,6.68,7.15,6.57,7.04,12.14,-2.99,-9.37,-1.37,-7.49,-3.38,-8.64
"10","GE",6.57,6.8,6.5,6.8,75277300,6.78254,2020-06-29,7.26150000000001,6.75750000000001,8.62125,6.98488074595706,7.23466853557881,7.91654160475974,0,1,0,0,0,0,6.48,7.04,6.76,6.9,12.05,4.94,-3.41,0.59,-2.65,-3.45,-8.61
"11","GE",6.71,6.87,6.66,6.83,69517100,6.812462,2020-06-30,7.25050000000001,6.75916666666667,8.57866666666666,6.97013019872305,7.22140071474016,7.89858223939182,0,1,0,0,0,0,6.8,7,7.05,6.73,11.94,0.44,-2.43,-3.12,-2.01,-3.48,-8.57
"12","GE",6.93,7.01,6.71,6.74,120534300,6.722693,2020-07-01,7.21950000000001,6.75100000000001,8.53558333333333,6.94821303693991,7.20561708474868,7.87943211973245,0,0,0,0,0,0,6.83,6.53,7.36,7.23,11.91,-1.32,3.22,-8.42,-3,-3.57,-8.55
"13","GE",6.86,7.04,6.81,6.82,74151800,6.802488,2020-07-02,7.17350000000001,6.74750000000001,8.49516666666666,6.93600227151706,7.19297390164216,7.86192084502613,0,1,0,0,0,0,6.74,6.68,7.74,7.03,11.67,1.19,2.1,-11.89,-1.67,-3.57,-8.51
"14","GE",6.98,7.08,6.89,7,75429400,6.982026,2020-07-06,7.12950000000001,6.74250000000001,8.4525,6.94209729327734,7.18664688847357,7.8476742194885,0,1,0,1,0,0,6.82,6.48,7.88,7.3,12.12,2.64,8.02,-11.17,0.83,-3.4,-8.42
"15","GE",6.89,6.89,6.75,6.76,62433700,6.742642,2020-07-07,7.04450000000001,6.73616666666667,8.40858333333333,6.92475469391759,7.17265846590066,7.82969613321597,0,1,0,0,0,0,7,6.8,8.46,7.14,12.03,-3.43,-0.59,-20.09,-2.38,-3.46,-8.39
"16","GE",6.82,6.87,6.72,6.86,64439300,6.842385,2020-07-08,6.98650000000001,6.73350000000001,8.36683333333333,6.91858758021115,7.16240736865802,7.8136680979562,0,1,0,0,0,0,6.76,6.83,8.02,7.02,11.87,1.48,0.44,-14.46,-0.85,-3.4,-8.33
"17","GE",6.83,6.83,6.58,6.58,74748000,6.563104,2020-07-09,6.93500000000001,6.72766666666667,8.323,6.88634114400057,7.14331204509546,7.79327688972552,0,0,0,0,0,0,6.86,6.74,7.61,6.93,11.84,-4.08,-2.37,-13.53,-4.45,-3.6,-8.34
"18","GE",6.54,6.72,6.53,6.69,63423400,6.672822,2020-07-10,6.92200000000001,6.73083333333334,8.28033333333333,6.86764198742909,7.12844935509233,7.77504090807717,0,0,0,0,0,0,6.58,6.82,6.95,6.5,11.81,1.67,-1.91,-3.74,-2.59,-3.66,-8.32
"19","GE",6.76,6.82,6.64,6.7,68492400,6.682796,2020-07-13,6.89450000000001,6.73850000000001,8.239,6.85167608386441,7.11440183525324,7.75727163686928,0,0,0,0,0,0,6.69,7,7.25,6.24,11.66,0.15,-4.29,-7.59,-2.21,-3.69,-8.29
"20","GE",6.66,6.89,6.57,6.88,69509200,6.862334,2020-07-14,6.87650000000001,6.73916666666667,8.20158333333333,6.85437359968685,7.10671652917936,7.74277127923508,1,1,0,1,0,0,6.7,6.76,7.24,6.84,11.37,2.69,1.78,-4.97,0.37,-3.55,-8.21
"21","GE",7.09,7.21,7.03,7.14,89827100,7.121666,2020-07-15,6.86000000000001,6.74966666666667,8.163,6.88157611400239,7.10780779051774,7.73280811759483,1,1,0,1,1,0,6.88,6.86,7.47,6.51,11.77,3.78,4.08,-4.42,3.76,-3.18,-8.08
"22","GE",7.06,7.18,6.99,7.05,52345300,7.031898,2020-07-16,6.85050000000001,6.75916666666667,8.12416666666666,6.8976164840974,7.10591245312372,7.72152203300648,1,1,0,1,0,0,7.14,6.58,7.24,6.48,11.71,-1.26,7.14,-2.62,2.21,-2.93,-7.97
"23","GE",7.06,7.15,6.98,7.07,59958000,7.051846,2020-07-17,6.84000000000001,6.76983333333334,8.08775,6.91403396180241,7.10473499564425,7.71075307378324,1,1,0,1,0,0,7.05,6.69,7.28,6.43,11.44,0.28,5.68,-2.88,2.26,-2.68,-7.86
"24","GE",7.01,7.06,6.86,6.87,49065600,6.85236,2020-07-20,6.82600000000001,6.77566666666667,8.04725,6.90984025115456,7.09703876627886,7.69685632876203,1,1,0,0,0,0,7.07,6.7,7.15,6.52,11.73,-2.83,2.54,-3.92,-0.58,-2.64,-7.79
"25","GE",6.94,7.15,6.9,7.04,69913900,7.021923,2020-07-21,6.82600000000001,6.78866666666667,7.99808333333333,6.92223641771127,7.09516864279431,7.685999199361,1,1,0,1,0,0,6.87,6.88,7.04,6.26,12.94,2.47,2.33,0,1.7,-2.44,-7.69
"26","GE",6.99,7.09,6.9,7.06,65508300,7.041872,2020-07-22,6.82900000000001,6.79916666666667,7.95083333333333,6.93535675888162,7.09401557253876,7.67565210515669,1,1,0,1,0,0,7.04,7.14,7,6.43,12.73,0.28,-1.12,0.86,1.8,-2.24,-7.58
"27","GE",7.06,7.12,6.97,7.04,68628500,7.021923,2020-07-23,6.85450000000001,6.80316666666667,7.90575,6.94532278184528,7.09224457016044,7.66514545879046,1,1,0,1,0,0,7.06,7.05,6.53,6.8,12.45,-0.28,-0.14,7.81,1.36,-2.07,-7.47
"28","GE",7.02,7.11,6.82,6.86,65449500,6.842385,2020-07-24,6.86350000000001,6.80783333333334,7.86075,6.93719680262192,7.0846299940896,7.65183726938897,0,1,0,0,0,0,7.04,7.07,6.68,6.58,12.26,-2.56,-2.97,2.69,-1.11,-2.08,-7.41
"29","GE",6.84,6.85,6.69,6.71,70704000,6.69277,2020-07-27,6.87500000000001,6.80633333333334,7.81183333333333,6.91555901189602,7.07234704346372,7.63626971121725,0,0,0,0,0,0,6.86,6.87,6.48,6.8,12.58,-2.19,-2.33,3.55,-2.97,-2.22,-7.38
"30","GE",6.7,6.96,6.69,6.89,76033600,6.872308,2020-07-28,6.87950000000001,6.81283333333334,7.76208333333333,6.91312482028688,7.06636845187474,7.6239346746682,1,1,0,0,0,0,6.71,7.04,6.8,6.5,12.86,2.68,-2.13,1.32,-0.33,-2.17,-7.31
