,Tickers,Company,SEC.filings,GICS.Sector,GICS.Sub.Industry,HQ.Location,Date.First.Added,CIK,Founded,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ret.adjusted.prices,ret.closing.prices,SMA20,SMA60,SMA120,EMA20,EMA60,EMA120,AboveSMA20,AboveSMA60,AboveSMA120,AboveEMA20,AboveEMA60,AboveEMA120,DMinus1,Dminus5,Dminus20,Dminus60,Dminus120,Rel1D,Rel5D,Rel20D,C_Rel_EMA20,EMA20_Rel_EMA60,EMA60_Rel_EMA120
118,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,66740,1902,174.220001,175.690002,170.009995,170.520004,3859600,170.520004,12/1/2020,-0.012794489,-0.012794489,170.1194992,166.6873332,162.8503338,171.1051206,167.1294636,163.8731566,1,1,1,0,1,1,172.729996,174.139999,162.940002,165.770004,152.380005,-1.28,-2.08,4.65,-0.34,2.38,1.99
119,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,66740,1902,170.259995,172.580002,170.220001,171.850006,2421800,171.850006,12/2/2020,0.007799683,0.007799683,170.4364998,166.832,162.9918339,171.1760621,167.2842355,164.0050054,1,1,1,1,1,1,170.520004,177.080002,165.509995,163.169998,154.869995,0.78,-2.95,3.83,0.39,2.33,2
120,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,66740,1902,171.039993,173.389999,171.039993,171.830002,2377800,171.830002,12/3/2020,-0.000116404,-0.000116404,171.0199997,166.9341668,163.1093339,171.2383421,167.433277,164.1343441,1,1,1,1,1,1,171.850006,177.119995,160.160004,165.699997,157.729996,-0.01,-2.99,7.29,0.35,2.27,2.01
121,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,66740,1902,172.130005,173.160004,171.539993,172.460007,2663600,172.460007,12/4/2020,0.003666444,0.003666444,171.4830002,167.0893337,163.2159174,171.3546911,167.5980878,164.2719584,1,1,1,1,1,1,171.830002,176.889999,163.199997,163.149994,159.669998,0.37,-2.5,5.67,0.65,2.24,2.02
122,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,66740,1902,171.720001,172.5,169.179993,170.149994,2526800,170.149994,12/7/2020,-0.013394485,-0.013394485,171.8394997,167.1556669,163.3070006,171.2399581,167.6817569,164.369116,0,1,1,0,1,1,172.460007,172.729996,163.020004,166.169998,159.220001,-1.34,-1.49,4.37,-0.64,2.12,2.02
123,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,66740,1902,169.740005,172.830002,169.699997,172.460007,1730800,172.460007,12/8/2020,0.013576333,0.013576333,172.2910004,167.2223336,163.4174173,171.3561532,167.8384208,164.5028498,1,1,1,1,1,1,170.149994,170.520004,163.429993,168.460007,159.210007,1.36,1.14,5.53,0.64,2.1,2.03
124,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,66740,1902,172.669998,175.639999,171.929993,175.289993,2790900,175.289993,12/9/2020,0.01640952,0.01640952,172.5985001,167.3676667,163.5602506,171.7308046,168.0827347,164.6811496,1,1,1,1,1,1,172.460007,171.850006,169.139999,166.570007,158.149994,1.64,2,3.64,2.07,2.17,2.07
125,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,66740,1902,174.869995,175.399994,172.690002,173.490005,2228800,173.490005,12/10/2020,-0.01026863,-0.01026863,172.8125,167.4340002,163.7002506,171.8983475,168.2600222,164.8267506,1,1,1,1,1,1,175.289993,171.830002,169.210007,169.509995,156.690002,-1.03,0.97,2.53,0.93,2.16,2.08
126,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,66740,1902,172.300003,174.649994,172.169998,174.020004,1875700,174.020004,12/11/2020,0.003054925,0.003054925,173.161,167.4613335,163.835084,172.10041,168.4488741,164.9787052,1,1,1,1,1,1,173.490005,172.460007,167.050003,172.380005,157.839996,0.31,0.9,4.17,1.12,2.17,2.1
127,MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,66740,1902,175.669998,176.199997,172.990005,173.080002,3700100,173.080002,12/14/2020,-0.005401689,-0.005401689,173.3255005,167.5201668,164.0089174,172.1937045,168.6007143,165.1126109,0,1,1,1,1,1,174.020004,170.149994,169.789993,169.550003,152.220001,-0.54,1.72,1.94,0.51,2.13,2.11
